id_a,name_a,ctry_a,id_b,name_b,ctry_b,km,same_forecast
4346991,Adelphi,US,4360314,Langley Park,US,1.8,True
2511329,San Juan de Aznalfarache,ES,2510394,Tomares,ES,1.8,True
2516443,Ingenio,ES,2522325,Aguimes,ES,1.8,True
2988621,Pantin,FR,3000491,Les Lilas,FR,1.8,True
1684320,Tagudin,PH,1688017,Santa Maria,PH,1.81,True
5095611,Bergenfield,US,5101766,New Milford,US,1.81,True
3002880,Le Petit-Quevilly,FR,3003952,Le Grand-Quevilly,FR,1.81,True
2734434,Sao Mamede de Infesta,PT,2738347,Leca do Bailio,PT,1.82,True
6534267,Casavatore,IT,3179806,Casoria,IT,1.82,True
3490165,Half Way Tree,JM,3489854,Kingston,JM,1.82,True
2642214,Morecambe,GB,2644972,Lancaster,GB,1.82,True
2639268,Rochester,GB,2653305,Chatham,GB,1.83,True
257302,Melissia,GR,6324534,Vrilissia,GR,1.83,True
1692565,Pulilan,PH,1693239,Plaridel,PH,1.83,True
5101879,North Bergen,US,5106292,West New York,US,1.83,True
2468579,Nabeul,TN,2471637,Dar Chabanne,TN,1.83,True
2744118,Zaandam,NL,2744114,Zaanstad,NL,1.84,True
3068690,Otrokovice,CZ,3068689,Otrokovice,CZ,1.84,True
2648657,Gillingham,GB,2653305,Chatham,GB,1.84,True
2831948,Sindelfingen,DE,2947444,Boblingen,DE,1.85,True
1275050,Burla,IN,1270059,Hirakud,IN,1.85,True
3024635,Clermont-Ferrand,FR,3027453,Chamalieres,FR,1.85,True
262135,Galatsi,GR,256614,Nea Ionia,GR,1.85,True
5895650,Beaconsfield,CA,5992830,Kirkland,CA,1.85,True
1253482,Vallabh Vidyanagar,IN,1267862,Karamsad,IN,1.85,True
2521105,Benetusser,ES,2519690,Catarroja,ES,1.85,True
255524,Peristeri,GR,256601,Ilion,GR,1.85,True
1256259,Silvassa,IN,1278768,Amli,IN,1.85,True
2833641,Seelze,DE,2922586,Garbsen,DE,1.85,True
2338273,Ikire,NG,2349558,Apomu,NG,1.85,True
1253219,Vettaikkaranpudur,IN,1278692,Anaimalai,IN,1.85,True
3022700,Cran-Gevrier,FR,2974655,Seynod,FR,1.85,True
454432,Vec-Liepaja,LV,457954,Liepaja,LV,1.85,True
2976179,Sannois,FR,3037044,Argenteuil,FR,1.85,True
2978621,Saint-Mande,FR,3026637,Charenton-le-Pont,FR,1.86,True
2992650,Montesson,FR,2998854,Le Vesinet,FR,1.86,True
2732544,Vila Nova de Gaia,PT,2735943,Porto,PT,1.86,True
3020839,Drancy,FR,3005269,Le Blanc-Mesnil,FR,1.86,True
3182765,Arzano,IT,6534267,Casavatore,IT,1.87,True
2581754,Douane,TN,2468579,Nabeul,TN,1.87,True
3444924,Vitoria,BR,7732959,Disney,BR,1.88,True
2841374,Sasel,DE,2852673,Poppenbuettel,DE,1.88,True
3016292,Gentilly,FR,3029276,Cachan,FR,1.88,True
2455516,Kayes Ndi,ML,2455518,Kayes,ML,1.88,True
2975469,Sceaux,FR,3017924,Fontenay-aux-Roses,FR,1.88,True
2972444,Torcy,FR,2990192,Noisiel,FR,1.88,True
3621505,San Vicente,CR,3622217,Purral,CR,1.89,True
99072,Mosul,IQ,99071,Al Mawsil al Jadidah,IQ,1.89,True
4356165,Glassmanor,US,4364759,Oxon Hill,US,1.89,True
5327298,Bell,US,5341051,Cudahy,US,1.89,True
5324862,Artesia,US,5335663,Cerritos,US,1.89,True
6295498,Zuerich (Kreis 3) / Sihlfeld,CH,6295532,Zuerich (Kreis 3),CH,1.89,True
2742506,Baguim do Monte,PT,2735083,Rio Tinto,PT,1.89,True
2968142,Villiers-sur-Marne,FR,3029706,Bry-sur-Marne,FR,1.9,True
6690870,Becontree,GB,6690871,Dagenham,GB,1.9,True
7932612,Glen Iris,AU,7932638,Malvern East,AU,1.9,True
4900373,Lombard,US,4914830,Villa Park,US,1.9,True
2998854,Le Vesinet,FR,3026033,Chatou,FR,1.9,True
6141190,Sarnia,CA,5006233,Port Huron,US,1.9,True
2998324,Lille,FR,3008379,La Madeleine,FR,1.9,False
2972893,Thiais,FR,2989297,Orly,FR,1.91,True
3026637,Charenton-le-Pont,FR,3038213,Alfortville,FR,1.91,True
3668332,Santo Tomas,CO,3673220,Palmar de Varela,CO,1.91,True
3180541,Cardito,IT,3181258,Caivano,IT,1.91,True
5108169,Bay Shore,US,5128898,North Bay Shore,US,1.91,True
1259408,Ponnuru,IN,7302844,Ponnur,IN,1.91,True
2819465,Unterhaching,DE,2823812,Taufkirchen,DE,1.92,True
2660104,Kriens,CH,2659873,Littau,CH,1.92,True
734301,Sykies,GR,734538,Polichni,GR,1.93,True
2997620,Loos,FR,3013862,Haubourdin,FR,1.93,False
264194,Agia Paraskevi,GR,6324534,Vrilissia,GR,1.93,True
2974385,Soisy-sous-Montmorency,FR,2979627,Saint-Gratien,FR,1.93,True
3024783,Clamart,FR,3026083,Chatillon,FR,1.94,True
4381478,Clayton,US,4412697,University City,US,1.94,True
